dates,prices,card,expansion
25.01.2019,2.45,Karn-Silver-Golem,Commanders-Arsenal
21.02.2019,0.19,Karn-Silver-Golem,Commanders-Arsenal
06.03.2019,0.4,Karn-Silver-Golem,Commanders-Arsenal
08.03.2019,0.32,Karn-Silver-Golem,Commanders-Arsenal
27.03.2019,0.45,Karn-Silver-Golem,Commanders-Arsenal
12.04.2019,0.24,Karn-Silver-Golem,Commanders-Arsenal
12.05.2019,0.26,Karn-Silver-Golem,Commanders-Arsenal
16.05.2019,0.9,Karn-Silver-Golem,Commanders-Arsenal
25.05.2019,0.22,Karn-Silver-Golem,Commanders-Arsenal
02.06.2019,3.29,Karn-Silver-Golem,Commanders-Arsenal
03.06.2019,0.3,Karn-Silver-Golem,Commanders-Arsenal
11.06.2019,0.75,Karn-Silver-Golem,Commanders-Arsenal
16.06.2019,0.1,Karn-Silver-Golem,Commanders-Arsenal
24.08.2019,0.75,Karn-Silver-Golem,Commanders-Arsenal
17.09.2019,1.45,Karn-Silver-Golem,Commanders-Arsenal
11.10.2019,0.49,Karn-Silver-Golem,Commanders-Arsenal
22.10.2019,0.47,Karn-Silver-Golem,Commanders-Arsenal
12.11.2019,0.72,Karn-Silver-Golem,Commanders-Arsenal
09.12.2019,0.33,Karn-Silver-Golem,Commanders-Arsenal
28.12.2019,0.1,Karn-Silver-Golem,Commanders-Arsenal
11.01.2020,0.2,Karn-Silver-Golem,Commanders-Arsenal
12.01.2020,0.4,Karn-Silver-Golem,Commanders-Arsenal
19.01.2020,0.45,Karn-Silver-Golem,Commanders-Arsenal
28.03.2020,0.4,Karn-Silver-Golem,Commanders-Arsenal
10.04.2020,0.25,Karn-Silver-Golem,Commanders-Arsenal
26.04.2020,0.75,Karn-Silver-Golem,Commanders-Arsenal
01.05.2020,0.75,Karn-Silver-Golem,Commanders-Arsenal
05.05.2020,0.75,Karn-Silver-Golem,Commanders-Arsenal
07.05.2020,0.53,Karn-Silver-Golem,Commanders-Arsenal
19.05.2020,0.4,Karn-Silver-Golem,Commanders-Arsenal
11.10.2019,0.38,Karrthus-Tyrant-of-Jund,Commanders-Arsenal
05.11.2019,0.34,Karrthus-Tyrant-of-Jund,Commanders-Arsenal
05.12.2019,0.31,Karrthus-Tyrant-of-Jund,Commanders-Arsenal
12.12.2019,0.99,Karrthus-Tyrant-of-Jund,Commanders-Arsenal
13.12.2019,0.31,Karrthus-Tyrant-of-Jund,Commanders-Arsenal
